generation, best_individual, average_fitness
1, 190034.6, 37181.7843
2, 219169.17, 126515.82860000005
3, 219169.17, 167352.84850000008
4, 219613.99, 180606.70810000005
5, 219613.99, 190265.58480000013
6, 219613.99, 197122.4614
7, 223674.12, 203070.84999999998
8, 223674.12, 207196.28409999996
9, 223674.12, 209958.39820000005
10, 223674.12, 212126.71679999997
11, 224486.51, 214808.12129999994
12, 227442.05, 217227.93349999993
13, 232477.73, 219257.24350000004
14, 232477.73, 220733.3107
15, 233116.12, 222542.07690000001
16, 233116.12, 224258.3886
17, 233116.12, 225884.03370000006
18, 233116.12, 227134.44330000013
19, 235923.0, 228455.30759999997
20, 235923.0, 229555.78519999993
21, 235923.0, 230312.06989999994
22, 235923.0, 230995.30849999998
23, 235923.0, 231503.44069999998
24, 235923.0, 232083.56979999988
25, 237271.15, 232772.23449999987
26, 237271.15, 233349.95989999996
27, 237271.15, 233879.01439999993
28, 237920.24, 234466.41279999993
29, 238318.36, 234912.94909999994
30, 238318.36, 235272.4061999999
31, 238702.34, 235537.38439999998
32, 238702.34, 235895.58009999993
33, 238702.34, 236190.35639999996
34, 239395.86, 236516.1907999999
35, 239395.86, 236730.38989999995
36, 241463.13, 237146.49549999993
37, 241463.13, 237523.18399999983
38, 241463.13, 237796.6378999999
39, 241463.13, 238029.2212
40, 241463.13, 238281.56459999998
41, 241463.13, 238507.15089999995
42, 241463.13, 238697.69159999996
43, 241463.13, 238873.672
44, 241463.13, 239126.9902
45, 241463.13, 239277.20440000005
46, 241742.93, 239411.69250000006
47, 241742.93, 239538.10770000008
48, 241742.93, 239574.15930000012
49, 243040.7, 239724.15120000005
50, 243040.7, 239808.98779999997
51, 243040.7, 239908.2362999999
52, 243040.7, 240015.04929999993
53, 243040.7, 240111.16299999988
54, 243040.7, 240188.88799999992
55, 243040.7, 240272.47409999988
56, 243040.7, 240349.46269999992
57, 243040.7, 240457.44459999993
58, 243040.7, 240544.33099999998
59, 243040.7, 240605.14359999992
60, 243040.7, 240636.29339999994
61, 243040.7, 240658.25799999989
62, 243040.7, 240757.09359999988
63, 243040.7, 240858.3014999999
64, 243040.7, 240979.57379999995
65, 243040.7, 241085.4968999999
66, 243040.7, 241187.06059999994
67, 243040.7, 241269.50229999996
68, 243040.7, 241371.0825
69, 243040.7, 241412.48320000002
70, 243040.7, 241540.00470000002
71, 243040.7, 241605.61310000002
72, 243040.7, 241675.70030000008
73, 243040.7, 241737.83150000006
