generation, best_individual, average_fitness
1, 57200.76, 30478.53315
2, 60194.57, 36218.04209999999
3, 60568.33, 39671.623949999994
4, 62857.0, 43439.148049999996
5, 63190.39, 47717.14239999999
6, 63468.35, 51767.01729999999
7, 64523.42, 54480.5278
8, 64523.42, 56656.665000000015
9, 64523.42, 58400.49170000003
10, 64523.42, 59644.387200000034
11, 64523.42, 60383.82030000003
12, 64523.42, 61160.402899999994
13, 65666.21, 61812.33460000001
14, 66186.69, 62313.5227
15, 66186.69, 62754.2288
1, 58874.08, 27961.50145
2, 58874.08, 34375.25870000001
3, 59229.5, 39810.61940000001
4, 60085.74, 44779.26425000001
5, 61735.1, 49870.376100000016
6, 61735.1, 53139.648599999986
7, 61735.1, 54876.544399999984
8, 61735.1, 56193.912999999986
9, 61996.64, 57022.415700000005
10, 63782.39, 57996.81919999998
11, 63782.39, 58709.91089999998
12, 64466.81, 59383.956799999985
13, 64466.81, 60082.41370000001
14, 64466.81, 60763.35700000002
15, 64787.19, 61430.02940000002
16, 65025.49, 61824.894500000024
17, 65025.49, 62259.7195
1, 61349.52, 29263.05004999999
2, 61349.52, 35427.030149999984
3, 61349.52, 39929.20674999999
4, 62098.7, 45419.167250000035
5, 62098.7, 50083.28900000001
6, 62098.7, 52877.367999999995
7, 62098.7, 54847.96370000001
8, 62098.7, 55873.51440000002
9, 62098.7, 56772.735600000036
10, 62098.7, 57441.78400000002
11, 62098.7, 58001.1848
12, 63521.07, 58479.90590000002
1, 56556.61, 27285.43155000001
2, 58888.1, 33559.77850000001
3, 61397.93, 37175.864600000015
4, 61397.93, 40327.33554999999
5, 64106.83, 44259.92315
6, 64106.83, 49090.567199999976
7, 64106.83, 52484.13769999999
8, 64106.83, 54686.108
9, 64106.83, 56340.191799999986
10, 64106.83, 57183.29769999999
11, 64115.22, 57940.61039999998
12, 64115.22, 58778.41699999997
13, 64175.84, 59695.808699999965
14, 64175.84, 60332.30569999995
15, 64175.84, 61010.72939999996
16, 64489.36, 61396.45629999999
17, 64489.36, 61831.8284
1, 62889.65, 32312.48545
2, 62889.65, 37029.18769999999
3, 62889.65, 40618.30179999999
4, 62889.65, 44463.788250000005
5, 62889.65, 48456.6921
6, 63471.27, 51772.92999999997
7, 63471.27, 53965.264399999985
8, 63471.27, 55759.47369999998
9, 63471.27, 57132.827000000005
10, 64162.02, 58302.02319999998
11, 64162.02, 59206.81489999999
12, 64162.02, 59946.98499999998
13, 64162.02, 60524.80289999999
14, 64162.02, 60957.65829999998
