generation, best_individual, average_fitness
1, 95938.09, 66932.73860000003
2, 95938.09, 81554.95860000001
3, 95938.09, 86519.60340000002
4, 98416.69, 88596.12279999997
5, 98416.69, 89747.81289999996
6, 98416.69, 90769.74909999999
7, 98416.69, 91577.18589999997
8, 98416.69, 92263.82669999998
1, 97101.51, 61032.05630000001
2, 97101.51, 74056.7205
3, 97101.51, 82366.074
4, 97101.51, 86710.14510000002
5, 97101.51, 88839.79110000002
6, 97101.51, 90402.92509999998
7, 97101.51, 91364.24119999999
8, 97101.51, 92004.93489999996
9, 97212.79, 92763.35429999998
1, 92902.53, 59097.085199999994
2, 96587.1, 76154.07609999999
3, 96587.1, 84544.42020000001
4, 96587.1, 87396.38919999998
5, 96587.1, 88890.62089999998
6, 96587.1, 89970.39809999996
7, 96587.1, 90843.44489999999
8, 96587.1, 91600.88310000002
1, 94212.64, 60327.80869999998
2, 94212.64, 73181.9885
3, 94597.9, 83578.63499999998
4, 94597.9, 87323.25779999999
5, 95820.4, 88926.85339999999
6, 96845.79, 90215.01930000001
7, 96845.79, 91061.0338
8, 96845.79, 91874.02050000001
1, 94938.58, 63706.818600000006
2, 95452.49, 79726.95790000001
3, 95452.49, 85659.1434
4, 95659.74, 87933.05960000001
5, 95668.85, 89150.9095
6, 96085.25, 90814.98489999998
7, 97689.04, 91680.60429999998
8, 97689.04, 92297.36169999998
