generation, best_individual, average_fitness
1, 100067.78, 57109.9808
2, 104863.06, 70157.07480000002
3, 104863.06, 78478.50770000003
4, 104863.06, 82897.21490000002
5, 107561.92, 86639.77200000003
6, 107561.92, 90191.96360000002
7, 110262.84, 92994.84350000002
8, 110262.84, 95675.12030000005
9, 110262.84, 97796.03390000004
10, 110262.84, 99543.09660000006
11, 110262.84, 101337.03430000001
12, 112192.4, 103237.83770000003
13, 112192.4, 104242.8313
14, 112192.4, 105085.20460000003
1, 100487.7, 58610.207000000024
2, 104020.34, 71140.45810000002
3, 104302.95, 78668.83100000002
4, 104302.95, 83777.23300000001
5, 106025.86, 87769.38099999998
6, 106349.69, 90813.42889999997
7, 106349.69, 92695.04679999995
8, 106835.45, 95242.18399999996
9, 108293.87, 97360.28949999997
10, 108293.87, 98843.32780000001
11, 108293.87, 100463.9761
12, 109026.48, 101697.20360000001
13, 111112.86, 103019.6076
14, 111112.86, 104118.58760000001
15, 111112.86, 105143.35670000003
16, 111153.97, 105954.85300000006
1, 100872.06, 60318.44500000001
2, 100872.06, 73202.797
3, 106717.0, 81617.28429999998
4, 107628.19, 87216.62179999996
5, 107628.19, 90849.53079999996
6, 107628.19, 92561.64199999999
7, 107628.19, 94209.88540000003
8, 107628.19, 96149.09730000004
9, 107628.19, 97860.44600000005
10, 107628.19, 99389.7028
11, 107628.19, 100861.98619999997
12, 109942.99, 102118.37429999994
13, 109942.99, 102969.25019999995
14, 109942.99, 103764.62439999996
1, 107783.61, 54698.16449999998
2, 107783.61, 67863.71199999997
3, 107783.61, 76803.22949999996
4, 107783.61, 81471.61919999997
5, 107783.61, 85941.90019999999
6, 107783.61, 88875.66799999998
7, 107783.61, 91204.46119999996
8, 110781.96, 93656.4923
9, 110781.96, 95479.2376
10, 110781.96, 97445.4095
11, 110781.96, 98973.325
12, 110781.96, 100345.31050000002
13, 110781.96, 101954.77309999999
14, 111089.23, 102953.27180000002
15, 111089.23, 103714.36470000002
1, 102858.07, 55219.42049999998
2, 102858.07, 67326.47679999997
3, 102858.07, 76424.53839999998
4, 103174.53, 81846.82729999996
5, 103174.53, 85811.18559999997
6, 103174.53, 89126.55059999999
7, 105300.16, 91476.661
8, 105300.16, 93509.7759
9, 105300.16, 95245.0052
10, 105454.7, 97071.70020000002
11, 105454.7, 98557.83989999998
12, 107292.07, 99846.68249999997
13, 109721.12, 101114.29769999998
14, 110711.74, 102479.85719999998
15, 110711.74, 103322.4764
16, 110711.74, 103950.71400000007
