generation, best_individual, average_fitness
1, 123505.64, 66804.38769999999
2, 123554.93, 86100.65219999998
3, 132908.0, 96346.17400000003
4, 132908.0, 103032.80140000001
5, 132908.0, 107646.08409999998
6, 132908.0, 111662.8403
7, 132908.0, 116078.52230000001
8, 133321.07, 118959.2361
9, 135592.34, 121355.62709999998
10, 135592.34, 123559.10269999994
11, 135592.34, 125136.3381
12, 138833.81, 126641.99270000005
13, 138833.81, 127939.64330000004
14, 139363.73, 129249.10080000001
15, 139363.73, 130093.23060000001
16, 139363.73, 131003.3181
1, 131362.32, 64343.6113
2, 131362.32, 87815.1242
3, 134551.11, 97167.50970000001
4, 134551.11, 102941.47859999997
5, 135518.43, 108857.66549999999
6, 135518.43, 112720.89539999998
7, 137462.89, 117149.15580000001
8, 137462.89, 120379.39190000003
9, 137462.89, 123483.89149999997
10, 138584.2, 125987.85389999997
11, 140714.26, 127586.46839999995
12, 140714.26, 128915.6917
13, 140714.26, 130041.74100000004
14, 140714.26, 130939.79240000008
1, 128467.04, 64243.60779999999
2, 128467.04, 86088.11929999999
3, 128467.04, 96330.04889999997
4, 130233.24, 101738.30609999996
5, 130233.24, 106052.89529999997
6, 130661.97, 109874.34419999998
7, 131079.06, 112665.30159999998
8, 132072.66, 115478.48949999995
9, 135906.29, 118503.69079999992
10, 135906.29, 121108.49979999993
11, 135906.29, 123356.9785
12, 135906.29, 125161.06410000002
13, 135906.29, 126834.2804
14, 137023.87, 128068.92350000003
15, 137924.06, 129234.67610000006
1, 130487.79, 73728.5179
2, 130487.79, 93405.4431
3, 130487.79, 100974.35149999999
4, 134659.78, 107221.96709999997
5, 134659.78, 111489.75349999998
6, 135467.45, 114624.89859999997
7, 135467.45, 116840.00739999996
8, 135467.45, 118808.86789999995
9, 136730.0, 121511.34449999995
10, 140894.97, 124675.12689999999
11, 142036.55, 127133.40039999995
12, 142036.55, 129075.35339999996
13, 142557.91, 131107.49330000003
14, 142557.91, 132992.59980000003
15, 142557.91, 134508.75660000002
16, 143684.98, 135689.11440000005
17, 143848.9, 136874.05300000007
1, 123739.8, 69389.46659999999
2, 123739.8, 88052.10839999997
3, 123739.8, 98288.1975
4, 131836.35, 104635.09229999999
5, 132670.68, 109916.01860000001
6, 135661.97, 113666.81109999999
7, 135661.97, 116979.97910000003
8, 135661.97, 119818.5067
9, 137305.72, 122969.32839999998
10, 138302.47, 125325.66690000001
11, 138302.47, 127837.1212
12, 139459.69, 129870.8929
13, 139459.69, 131124.67029999997
14, 139459.69, 132407.20770000003
