generation, best_individual, average_fitness
1, 82880.01, 34230.43404999999
2, 85768.57, 43004.49110000001
3, 86223.43, 53994.58805
4, 86223.43, 64724.93689999999
5, 88822.41, 74412.1906
6, 89288.16, 80168.13350000001
7, 89288.16, 82221.7913
8, 89883.5, 83315.1121
9, 89883.5, 84231.19700000003
10, 90372.71, 84779.74900000003
11, 90372.71, 85461.35620000001
1, 90488.82, 39179.41175000001
2, 90488.82, 49361.54905000001
3, 90488.82, 58126.558200000014
4, 90488.82, 66685.60435
5, 90488.82, 73720.00890000003
6, 90555.71, 78174.64970000002
7, 90934.34, 80641.99320000003
8, 91837.49, 82478.22770000002
9, 91837.49, 83796.8065
10, 91837.49, 85011.89980000003
11, 91837.49, 85873.3909
12, 91837.49, 86561.8465
13, 91837.49, 87389.95260000003
1, 80313.79, 30987.108750000003
2, 83517.8, 39026.25430000001
3, 86271.58, 44947.63285000002
4, 88668.11, 54326.36355000002
5, 88668.11, 65270.80014999999
6, 90623.77, 75188.97129999998
7, 90623.77, 79932.92319999999
8, 90623.77, 82424.3308
9, 90623.77, 83970.50749999998
10, 91906.78, 85142.61429999996
11, 91906.78, 85922.92319999999
12, 91906.78, 86743.5038
1, 85744.53, 31624.462300000003
2, 85744.53, 41167.799150000006
3, 85744.53, 52543.508149999994
4, 89967.7, 64813.87985000001
5, 89967.7, 75288.1138
6, 91740.6, 80257.0661
7, 91740.6, 82292.19029999999
8, 92084.81, 83792.8944
9, 92084.81, 84968.88309999996
10, 92084.81, 85876.7076
11, 92084.81, 87054.4938
12, 92084.81, 88086.05040000002
13, 92084.81, 88743.75610000003
14, 92762.34, 89374.93370000005
1, 79665.76, 30925.788749999996
2, 81144.35, 39024.693049999994
3, 81144.35, 46292.7442
4, 81983.46, 56383.50089999998
5, 88632.88, 66493.60174999996
6, 88833.43, 72864.51579999998
7, 89821.77, 76564.0982
8, 90185.18, 78643.84639999998
9, 90185.18, 80492.29079999997
10, 90690.94, 82232.15109999999
11, 90830.16, 83676.9828
12, 90830.16, 84700.8716
13, 90830.16, 85652.837
14, 90830.16, 86408.98229999999
15, 92445.39, 87017.96179999999
