generation, best_individual, average_fitness
1, 105840.54, 44566.378150000004
2, 105840.54, 55526.93230000001
3, 108284.73, 68587.00690000004
4, 108284.73, 81552.3826
5, 108284.73, 87046.76629999999
6, 108284.73, 91238.67259999999
7, 108518.52, 95030.31209999997
8, 108518.52, 97031.44309999997
9, 110460.1, 99118.10699999996
10, 110460.1, 100636.35989999997
11, 110460.1, 102727.12169999996
12, 112337.2, 104489.18349999996
13, 112525.94, 105795.67049999989
14, 112525.94, 106858.12599999995
15, 112525.94, 107543.3476
1, 103545.76, 50556.635999999984
2, 105485.77, 64323.66135000001
3, 106682.52, 76897.78704999998
4, 106682.52, 85940.1945
5, 106682.52, 90588.14769999994
6, 106682.52, 94358.75689999998
7, 107745.09, 97297.34169999995
8, 107750.57, 99363.0719
9, 108577.65, 100813.11119999998
10, 109579.18, 102420.67759999998
11, 109579.18, 103782.54839999999
12, 110175.48, 105147.67379999999
13, 110928.4, 105960.7609
14, 112296.67, 106682.01109999999
1, 107031.88, 55599.34255000001
2, 107696.39, 68898.33845000004
3, 107696.39, 79400.35640000003
4, 107696.39, 86234.07760000008
5, 108259.74, 90297.87960000004
6, 108259.74, 93890.58430000009
7, 108259.74, 97856.89690000007
8, 109185.12, 101161.00090000004
9, 109185.12, 103390.53680000003
10, 110448.33, 105010.17079999998
11, 113354.46, 106501.0276
12, 113354.46, 107412.48960000002
13, 113622.68, 108117.3154
1, 106243.91, 54587.995250000014
2, 106243.91, 68906.56580000003
3, 106243.91, 81990.71480000002
4, 109266.33, 88877.90960000001
5, 109266.33, 92452.8076
6, 109266.33, 95832.69910000003
7, 109266.33, 98298.97409999998
8, 109266.33, 100206.2891
9, 109266.33, 101935.55890000005
10, 109266.33, 103608.90480000002
11, 109266.33, 105016.11370000005
12, 109834.45, 106147.36300000001
13, 109834.45, 106775.93569999999
14, 109907.91, 107017.81919999998
1, 104715.35, 56213.63835
2, 104715.35, 69471.09064999998
3, 110296.13, 82880.44709999998
4, 110296.13, 89794.6937
5, 110296.13, 94061.1142
6, 110296.13, 97858.86440000005
7, 110694.91, 100732.64350000002
8, 110694.91, 102377.49040000001
9, 111115.7, 103978.18759999998
10, 111115.7, 104938.3811
11, 111301.94, 105776.40470000001
