generation, best_individual, average_fitness
1, 112317.01, 40283.71985
2, 113780.29, 58097.270799999984
3, 114008.33, 73232.63690000001
4, 116436.9, 85828.02810000003
5, 119539.67, 94771.15609999998
6, 122037.69, 101705.83779999998
7, 122037.69, 105660.9729
8, 122037.69, 109432.57210000005
9, 122566.77, 112002.17060000001
10, 122566.77, 114051.5944
11, 122566.77, 115620.64739999996
12, 124621.36, 116887.88429999999
13, 124621.36, 117629.71559999998
14, 124621.36, 118199.5238
1, 110914.87, 44729.2801
2, 117020.84, 66695.88209999999
3, 117020.84, 82867.523
4, 117020.84, 92444.06630000002
5, 117020.84, 98861.8544
6, 117020.84, 103726.95939999998
7, 117020.84, 106167.33419999994
8, 118727.26, 108202.63149999994
9, 118759.09, 109867.85459999998
10, 119430.07, 111193.38519999999
11, 119430.07, 112252.86460000002
12, 119430.07, 113054.3389
1, 117547.74, 49208.99705000001
2, 117547.74, 68783.20860000001
3, 120546.87, 85294.84659999999
4, 120702.95, 95125.64929999999
5, 120702.95, 102129.84629999998
6, 121622.47, 106681.11979999994
7, 121622.47, 109786.15829999998
8, 121622.47, 112264.67159999996
9, 121755.45, 114443.01359999998
10, 121755.45, 115776.26689999999
11, 121843.39, 116759.177
12, 122852.96, 117674.9239
1, 118384.95, 45840.341499999995
2, 118384.95, 62364.876550000015
3, 118384.95, 75926.64565000002
4, 118384.95, 89149.21960000001
5, 118384.95, 97157.51920000004
6, 118384.95, 102270.07790000009
7, 120733.37, 105037.44430000003
8, 120733.37, 107330.97690000005
9, 121403.23, 109114.51880000005
10, 121403.23, 110973.89140000001
11, 121403.23, 112815.9213
12, 121403.23, 114359.727
13, 123856.73, 115535.74109999997
14, 123856.73, 116360.80989999998
15, 123856.73, 117037.0636
1, 99862.35, 41446.48035
2, 107911.44, 56859.86824999999
3, 117021.08, 72242.23989999999
4, 117021.08, 83920.44479999998
5, 117021.08, 92915.71779999995
6, 117021.08, 98689.63959999995
7, 123186.76, 103204.1004
8, 123186.76, 106847.24520000003
9, 123517.44, 109022.3089
10, 123517.44, 111736.4522
11, 123517.44, 114166.2695
12, 123517.44, 115384.04200000002
13, 123517.44, 116747.34289999999
14, 123517.44, 117921.62159999998
15, 123974.76, 118607.9373
