"time","enappsys_radiation_national_history.mean_d-1","enappsys_radiation_national_history.mean_d-3","enappsys_radiation_national_history.mean_d-5","enappsys_radiation_national_history.mean_latest"
"2021-06-30T23:00:00.000Z","15.52","20.04","26.18","4.17"
"2021-07-01T00:00:00.000Z","12.93","16.7","20.94","3.48"
"2021-07-01T01:00:00.000Z","0","0","15.71","0"
"2021-07-01T02:00:00.000Z","0","0","5.23","0"
"2021-07-01T03:00:00.000Z","0","0","0","0"
"2021-07-01T04:00:00.000Z","1.13","1.03","9.35","0.69"
"2021-07-01T05:00:00.000Z","10.54","11.42","28.06","6.18"
"2021-07-01T06:00:00.000Z","28.62","35.88","17.56","13.71"
"2021-07-01T07:00:00.000Z","232.36","272.69","54.17","84.48"
"2021-07-01T08:00:00.000Z","311.35","343.03","127.38","105.39"
"2021-07-01T09:00:00.000Z","390.03","406.28","163.98","139.23"
"2021-07-01T10:00:00.000Z","450.74","466.27","197.53","171.59"
"2021-07-01T11:00:00.000Z","504.97","511.91","264.63","206.09"
"2021-07-01T12:00:00.000Z","547.79","546.74","298.18","235.26"
"2021-07-01T13:00:00.000Z","661.35","708.6","402.88","389.32"
"2021-07-01T14:00:00.000Z","653.81","679.48","612.3","376.55"
"2021-07-01T15:00:00.000Z","639.59","633.26","717","358.94"
"2021-07-01T16:00:00.000Z","608.49","570.06","676.6","333.74"
"2021-07-01T17:00:00.000Z","562.19","503.75","595.8","305.15"
"2021-07-01T18:00:00.000Z","511.29","440.93","555.4","276.43"
"2021-07-01T19:00:00.000Z","127.65","52.49","428.97","66.13"
"2021-07-01T20:00:00.000Z","75.87","30.92","176.12","39.62"
"2021-07-01T21:00:00.000Z","50.58","20.61","49.7","26.41"
"2021-07-01T22:00:00.000Z","37.93","15.46","43.49","19.81"
"2021-07-01T23:00:00.000Z","30.35","12.37","31.06","15.85"
"2021-07-02T00:00:00.000Z","25.29","10.31","24.85","13.2"
"2021-07-02T01:00:00.000Z","0","0","18.64","0"
"2021-07-02T02:00:00.000Z","0","0","6.21","0"
"2021-07-02T03:00:00.000Z","0","0","0","0"
"2021-07-02T04:00:00.000Z","1.53","0.35","10.67","0.71"
"2021-07-02T05:00:00.000Z","14.9","5","32.03","6.33"
"2021-07-02T06:00:00.000Z","44.46","28.72","47.5","19.69"
"2021-07-02T07:00:00.000Z","333.21","185.79","163.27","156.84"
"2021-07-02T08:00:00.000Z","404.69","259.29","394.81","207.01"
"2021-07-02T09:00:00.000Z","470.08","338.87","510.57","256.98"
"2021-07-02T10:00:00.000Z","530.91","414.61","535.15","309.91"
"2021-07-02T11:00:00.000Z","580.82","478.67","584.31","368.49"
"2021-07-02T12:00:00.000Z","615.4","508.68","608.89","427.32"
"2021-07-02T13:00:00.000Z","682.44","500.77","593.05","754.18"
"2021-07-02T14:00:00.000Z","619.78","448.72","561.36","735.99"
"2021-07-02T15:00:00.000Z","552.73","437.02","545.52","700.3"
"2021-07-02T16:00:00.000Z","485.43","388.47","508.21","651.1"
"2021-07-02T17:00:00.000Z","424.11","343.02","433.58","596.63"
"2021-07-02T18:00:00.000Z","368.58","300.8","396.27","539.96"
"2021-07-02T19:00:00.000Z","38.63","30.77","307.21","126.32"
"2021-07-02T20:00:00.000Z","23.36","17.25","129.09","75.17"
"2021-07-02T21:00:00.000Z","15.58","11.5","40.03","50.12"
"2021-07-02T22:00:00.000Z","11.68","8.63","35.03","37.59"
"2021-07-02T23:00:00.000Z","9.35","6.9","25.02","30.07"
"2021-07-03T00:00:00.000Z","7.79","5.75","20.02","25.06"
"2021-07-03T01:00:00.000Z","0","0","15.01","0"
"2021-07-03T02:00:00.000Z","0","0","5.01","0"
"2021-07-03T03:00:00.000Z","0","0","0","0"
"2021-07-03T04:00:00.000Z","0.66","0.9","10.35","1.5"
"2021-07-03T05:00:00.000Z","8.66","7.97","31.05","13.91"
"2021-07-03T06:00:00.000Z","36.04","32.32","38.12","43.66"
"2021-07-03T07:00:00.000Z","239.63","197.53","143.86","311.37"
"2021-07-03T08:00:00.000Z","294.37","204.51","355.35","376.97"
"2021-07-03T09:00:00.000Z","332.19","196.1","461.1","441.71"
"2021-07-03T10:00:00.000Z","360.11","197.08","503.92","492.68"
"2021-07-03T11:00:00.000Z","371.38","223.87","589.57","530.48"
"2021-07-03T12:00:00.000Z","382.7","258.93","632.4","558.3"
"2021-07-03T13:00:00.000Z","372.89","511.49","651.69","598.89"
"2021-07-03T14:00:00.000Z","362.16","551.02","690.29","564.15"
"2021-07-03T15:00:00.000Z","344.46","569.45","709.59","492.87"
"2021-07-03T16:00:00.000Z","319.92","555.67","667.27","430.57"
"2021-07-03T17:00:00.000Z","292.72","523.83","582.62","376.56"
"2021-07-03T18:00:00.000Z","262.86","479.09","540.3","329.46"
"2021-07-03T19:00:00.000Z","69.57","122.35","417.55","39.63"
"2021-07-03T20:00:00.000Z","42.23","71.86","172.03","24.6"
"2021-07-03T21:00:00.000Z","28.15","47.9","49.27","16.4"
"2021-07-03T22:00:00.000Z","21.12","35.93","43.12","12.3"
"2021-07-03T23:00:00.000Z","16.89","28.74","30.8","9.84"
"2021-07-04T00:00:00.000Z","14.08","23.95","24.64","8.2"
"2021-07-04T01:00:00.000Z","0","0","18.48","0"
"2021-07-04T02:00:00.000Z","0","0","6.16","0"
"2021-07-04T03:00:00.000Z","0","0","0","0"
"2021-07-04T04:00:00.000Z","0.95","1.16","11.79","0.73"
"2021-07-04T05:00:00.000Z","7.47","15.23","35.36","9.33"
"2021-07-04T06:00:00.000Z","34.42","46.97","26.83","35.9"
"2021-07-04T07:00:00.000Z","272.01","353.53","82.38","307.82"
"2021-07-04T08:00:00.000Z","340.71","427.74","193.49","391.93"
"2021-07-04T09:00:00.000Z","403.21","501.46","249.04","459.32"
"2021-07-04T10:00:00.000Z","444.93","544.78","274.1","504.54"
"2021-07-04T11:00:00.000Z","457.21","583.55","324.24","522.3"
"2021-07-04T12:00:00.000Z","461.12","619.76","349.3","524.88"
"2021-07-04T13:00:00.000Z","445.03","747.37","347.72","412.81"
"2021-07-04T14:00:00.000Z","450.6","762.71","344.55","356.73"
"2021-07-04T15:00:00.000Z","455.1","740.29","342.97","312.11"
"2021-07-04T16:00:00.000Z","431.33","699.38","321.77","267.83"
"2021-07-04T17:00:00.000Z","411.87","646.01","279.36","241.7"
"2021-07-04T18:00:00.000Z","372.38","584.66","258.16","224.22"
"2021-07-04T19:00:00.000Z","75.11","131.43","198.55","72.39"
"2021-07-04T20:00:00.000Z","43.37","76.97","79.34","44.41"
"2021-07-04T21:00:00.000Z","28.91","51.31","19.74","29.61"
"2021-07-04T22:00:00.000Z","21.68","38.48","17.27","22.2"
"2021-07-04T23:00:00.000Z","17.35","30.79","12.34","17.76"
"2021-07-05T00:00:00.000Z","14.46","25.65","9.87","14.8"
"2021-07-05T01:00:00.000Z","0","0","7.4","0"
"2021-07-05T02:00:00.000Z","0","0","2.47","0"
"2021-07-05T03:00:00.000Z","0","0","0","0"
"2021-07-05T04:00:00.000Z","0.81","1.09","8.91","1.11"
"2021-07-05T05:00:00.000Z","5.53","12.6","26.72","8.85"
"2021-07-05T06:00:00.000Z","13.18","35.74","21.45","23.22"
"2021-07-05T07:00:00.000Z","109.2","282.01","68.5","157.26"
"2021-07-05T08:00:00.000Z","175.56","331.37","162.6","183.75"
"2021-07-05T09:00:00.000Z","263.17","384.52","209.65","234.11"
"2021-07-05T10:00:00.000Z","348.23","419.87","230.83","263.69"
"2021-07-05T11:00:00.000Z","414.33","453.95","273.18","300.36"
"2021-07-05T12:00:00.000Z","461.61","475.07","294.36","319.34"
"2021-07-05T13:00:00.000Z","769.12","548.87","358.54","581.88"
"2021-07-05T14:00:00.000Z","749.07","522.6","486.9","595.17"
"2021-07-05T15:00:00.000Z","722.26","522.97","551.07","565.79"
"2021-07-05T16:00:00.000Z","672.05","501.14","523.9","531.05"
"2021-07-05T17:00:00.000Z","614.31","471.29","469.56","485.7"
"2021-07-05T18:00:00.000Z","554.65","432.1","442.39","439.33"
"2021-07-05T19:00:00.000Z","128.8","119.9","341.59","91.05"
"2021-07-05T20:00:00.000Z","75.7","70.27","139.99","52.93"
"2021-07-05T21:00:00.000Z","50.46","46.85","39.19","35.29"
"2021-07-05T22:00:00.000Z","37.85","35.14","34.29","26.47"
"2021-07-05T23:00:00.000Z","30.28","28.11","24.49","21.17"
"2021-07-06T00:00:00.000Z","25.24","23.43","19.59","17.64"
"2021-07-06T01:00:00.000Z","0","0","14.69","0"
"2021-07-06T02:00:00.000Z","0","0","4.9","0"
"2021-07-06T03:00:00.000Z","0","0","0","0"
"2021-07-06T04:00:00.000Z","1.14","1","10.45","0.66"
"2021-07-06T05:00:00.000Z","15.45","15.19","31.35","7.91"
"2021-07-06T06:00:00.000Z","46.73","29.09","40.7","19.18"
"2021-07-06T07:00:00.000Z","357.47","235.16","146.73","160.91"
"2021-07-06T08:00:00.000Z","430.99","293.27","358.78","245"
