time,solar_mw
2021-09-30T22:00:00+0000,0
2021-09-30T22:15:00+0000,0
2021-09-30T22:30:00+0000,0
2021-09-30T22:45:00+0000,0
2021-09-30T23:00:00+0000,0
2021-09-30T23:15:00+0000,0
2021-09-30T23:30:00+0000,0
2021-09-30T23:45:00+0000,0
2021-10-01T00:00:00+0000,0
2021-10-01T00:15:00+0000,0
2021-10-01T00:30:00+0000,0
2021-10-01T00:45:00+0000,0
2021-10-01T01:00:00+0000,0
2021-10-01T01:15:00+0000,39.25
2021-10-01T01:30:00+0000,78.5
2021-10-01T01:45:00+0000,117.75
2021-10-01T02:00:00+0000,157
2021-10-01T02:15:00+0000,259.25
2021-10-01T02:30:00+0000,361.5
2021-10-01T02:45:00+0000,463.75
2021-10-01T03:00:00+0000,566
2021-10-01T03:15:00+0000,653.5
2021-10-01T03:30:00+0000,741
2021-10-01T03:45:00+0000,828.5
2021-10-01T04:00:00+0000,916
2021-10-01T04:15:00+0000,976
2021-10-01T04:30:00+0000,1036
2021-10-01T04:45:00+0000,1096
2021-10-01T05:00:00+0000,1156
2021-10-01T05:15:00+0000,1194.75
2021-10-01T05:30:00+0000,1233.5
2021-10-01T05:45:00+0000,1272.25
2021-10-01T06:00:00+0000,1311
2021-10-01T06:15:00+0000,1322
2021-10-01T06:30:00+0000,1333
2021-10-01T06:45:00+0000,1344
2021-10-01T07:00:00+0000,1355
2021-10-01T07:15:00+0000,1332.25
2021-10-01T07:30:00+0000,1309.5
2021-10-01T07:45:00+0000,1286.75
2021-10-01T08:00:00+0000,1264
2021-10-01T08:15:00+0000,1204.25
2021-10-01T08:30:00+0000,1144.5
2021-10-01T08:45:00+0000,1084.75
2021-10-01T09:00:00+0000,1025
2021-10-01T09:15:00+0000,925
2021-10-01T09:30:00+0000,825
2021-10-01T09:45:00+0000,725
2021-10-01T10:00:00+0000,625
2021-10-01T10:15:00+0000,536.25
2021-10-01T10:30:00+0000,447.5
2021-10-01T10:45:00+0000,358.75
2021-10-01T11:00:00+0000,270
2021-10-01T11:15:00+0000,227.25
2021-10-01T11:30:00+0000,184.5
2021-10-01T11:45:00+0000,141.75
2021-10-01T12:00:00+0000,99
2021-10-01T12:15:00+0000,80.5
2021-10-01T12:30:00+0000,62
2021-10-01T12:45:00+0000,43.5
2021-10-01T13:00:00+0000,25
2021-10-01T13:15:00+0000,18.75
2021-10-01T13:30:00+0000,12.5
2021-10-01T13:45:00+0000,6.25
2021-10-01T14:00:00+0000,0
2021-10-01T14:15:00+0000,0
2021-10-01T14:30:00+0000,0
2021-10-01T14:45:00+0000,0
2021-10-01T15:00:00+0000,0
2021-10-01T15:15:00+0000,0
2021-10-01T15:30:00+0000,0
2021-10-01T15:45:00+0000,0
2021-10-01T16:00:00+0000,0
2021-10-01T16:15:00+0000,0
2021-10-01T16:30:00+0000,0
2021-10-01T16:45:00+0000,0
2021-10-01T17:00:00+0000,0
2021-10-01T17:15:00+0000,0
2021-10-01T17:30:00+0000,0
2021-10-01T17:45:00+0000,0
2021-10-01T18:00:00+0000,0
2021-10-01T18:15:00+0000,0
2021-10-01T18:30:00+0000,0
2021-10-01T18:45:00+0000,0
2021-10-01T19:00:00+0000,0
2021-10-01T19:15:00+0000,0
2021-10-01T19:30:00+0000,0
2021-10-01T19:45:00+0000,0
2021-10-01T20:00:00+0000,0
2021-10-01T20:15:00+0000,0
2021-10-01T20:30:00+0000,0
2021-10-01T20:45:00+0000,0
2021-10-01T21:00:00+0000,0
2021-10-01T21:15:00+0000,0
2021-10-01T21:30:00+0000,0
2021-10-01T21:45:00+0000,0
2021-10-01T22:00:00+0000,0
2021-10-01T22:15:00+0000,0
2021-10-01T22:30:00+0000,0
2021-10-01T22:45:00+0000,0
2021-10-01T23:00:00+0000,0
2021-10-01T23:15:00+0000,0
2021-10-01T23:30:00+0000,0
2021-10-01T23:45:00+0000,0
2021-10-02T00:00:00+0000,0
2021-10-02T00:15:00+0000,0
2021-10-02T00:30:00+0000,0
2021-10-02T00:45:00+0000,0
2021-10-02T01:00:00+0000,0
