"time","enappsys_renewables_aggregated.mean_solarforecasttso"
"2021-10-01T00:00:00.000Z","0"
"2021-10-01T00:15:00.000Z","0"
"2021-10-01T00:30:00.000Z","0"
"2021-10-01T00:45:00.000Z","0"
"2021-10-01T01:00:00.000Z","0"
"2021-10-01T01:15:00.000Z","0"
"2021-10-01T01:30:00.000Z","0"
"2021-10-01T01:45:00.000Z","0"
"2021-10-01T02:00:00.000Z","0"
"2021-10-01T02:15:00.000Z","0"
"2021-10-01T02:30:00.000Z","0"
"2021-10-01T02:45:00.000Z","0"
"2021-10-01T03:00:00.000Z","0"
"2021-10-01T03:15:00.000Z","39.25"
"2021-10-01T03:30:00.000Z","78.5"
"2021-10-01T03:45:00.000Z","117.75"
"2021-10-01T04:00:00.000Z","157"
"2021-10-01T04:15:00.000Z","259.25"
"2021-10-01T04:30:00.000Z","361.5"
"2021-10-01T04:45:00.000Z","463.75"
"2021-10-01T05:00:00.000Z","566"
"2021-10-01T05:15:00.000Z","653.5"
"2021-10-01T05:30:00.000Z","741"
"2021-10-01T05:45:00.000Z","828.5"
"2021-10-01T06:00:00.000Z","916"
"2021-10-01T06:15:00.000Z","976"
"2021-10-01T06:30:00.000Z","1036"
"2021-10-01T06:45:00.000Z","1096"
"2021-10-01T07:00:00.000Z","1156"
"2021-10-01T07:15:00.000Z","1194.75"
"2021-10-01T07:30:00.000Z","1233.5"
"2021-10-01T07:45:00.000Z","1272.25"
"2021-10-01T08:00:00.000Z","1311"
"2021-10-01T08:15:00.000Z","1322"
"2021-10-01T08:30:00.000Z","1333"
"2021-10-01T08:45:00.000Z","1344"
"2021-10-01T09:00:00.000Z","1355"
"2021-10-01T09:15:00.000Z","1332.25"
"2021-10-01T09:30:00.000Z","1309.5"
"2021-10-01T09:45:00.000Z","1286.75"
"2021-10-01T10:00:00.000Z","1264"
"2021-10-01T10:15:00.000Z","1204.25"
"2021-10-01T10:30:00.000Z","1144.5"
"2021-10-01T10:45:00.000Z","1084.75"
"2021-10-01T11:00:00.000Z","1025"
"2021-10-01T11:15:00.000Z","925"
"2021-10-01T11:30:00.000Z","825"
"2021-10-01T11:45:00.000Z","725"
"2021-10-01T12:00:00.000Z","625"
"2021-10-01T12:15:00.000Z","536.25"
"2021-10-01T12:30:00.000Z","447.5"
"2021-10-01T12:45:00.000Z","358.75"
"2021-10-01T13:00:00.000Z","270"
"2021-10-01T13:15:00.000Z","227.25"
"2021-10-01T13:30:00.000Z","184.5"
"2021-10-01T13:45:00.000Z","141.75"
"2021-10-01T14:00:00.000Z","99"
"2021-10-01T14:15:00.000Z","80.5"
"2021-10-01T14:30:00.000Z","62"
"2021-10-01T14:45:00.000Z","43.5"
"2021-10-01T15:00:00.000Z","25"
"2021-10-01T15:15:00.000Z","18.75"
"2021-10-01T15:30:00.000Z","12.5"
"2021-10-01T15:45:00.000Z","6.25"
"2021-10-01T16:00:00.000Z","0"
"2021-10-01T16:15:00.000Z","0"
"2021-10-01T16:30:00.000Z","0"
"2021-10-01T16:45:00.000Z","0"
"2021-10-01T17:00:00.000Z","0"
"2021-10-01T17:15:00.000Z","0"
"2021-10-01T17:30:00.000Z","0"
"2021-10-01T17:45:00.000Z","0"
"2021-10-01T18:00:00.000Z","0"
"2021-10-01T18:15:00.000Z","0"
"2021-10-01T18:30:00.000Z","0"
"2021-10-01T18:45:00.000Z","0"
"2021-10-01T19:00:00.000Z","0"
"2021-10-01T19:15:00.000Z","0"
"2021-10-01T19:30:00.000Z","0"
"2021-10-01T19:45:00.000Z","0"
"2021-10-01T20:00:00.000Z","0"
"2021-10-01T20:15:00.000Z","0"
"2021-10-01T20:30:00.000Z","0"
"2021-10-01T20:45:00.000Z","0"
"2021-10-01T21:00:00.000Z","0"
"2021-10-01T21:15:00.000Z","0"
"2021-10-01T21:30:00.000Z","0"
"2021-10-01T21:45:00.000Z","0"
"2021-10-01T22:00:00.000Z","0"
"2021-10-01T22:15:00.000Z","0"
"2021-10-01T22:30:00.000Z","0"
"2021-10-01T22:45:00.000Z","0"
"2021-10-01T23:00:00.000Z","0"
"2021-10-01T23:15:00.000Z","0"
"2021-10-01T23:30:00.000Z","0"
"2021-10-01T23:45:00.000Z","0"
"2021-10-02T00:00:00.000Z","0"
"2021-10-02T00:15:00.000Z","0"
"2021-10-02T00:30:00.000Z","0"
"2021-10-02T00:45:00.000Z","0"
"2021-10-02T01:00:00.000Z","0"
"2021-10-02T01:15:00.000Z","0"
"2021-10-02T01:30:00.000Z","0"
"2021-10-02T01:45:00.000Z","0"
"2021-10-02T02:00:00.000Z","0"
"2021-10-02T02:15:00.000Z","0"
"2021-10-02T02:30:00.000Z","0"
"2021-10-02T02:45:00.000Z","0"
"2021-10-02T03:00:00.000Z","0"
"2021-10-02T03:15:00.000Z","36.25"
"2021-10-02T03:30:00.000Z","72.5"
"2021-10-02T03:45:00.000Z","108.75"
"2021-10-02T04:00:00.000Z","145"
"2021-10-02T04:15:00.000Z","242.5"
"2021-10-02T04:30:00.000Z","340"
"2021-10-02T04:45:00.000Z","437.5"
"2021-10-02T05:00:00.000Z","535"
"2021-10-02T05:15:00.000Z","636.25"
"2021-10-02T05:30:00.000Z","737.5"
"2021-10-02T05:45:00.000Z","838.75"
"2021-10-02T06:00:00.000Z","940"
