time,irradation,temperature,wind_speed,power_generation
2020-12-31T23:00:00.000Z,0,0.0002,0,-0.2014
2021-01-01T00:00:00.000Z,0,6.7399,6.56,-0.2014
2021-01-01T01:00:00.000Z,0,6.26,6.33,-0.2014
2021-01-01T02:00:00.000Z,0,5.7801,6.09,-0.2014
2021-01-01T03:00:00.000Z,0,5.3001,5.8501,-0.2014
2021-01-01T04:00:00.000Z,0,4.8202,5.6099,-0.2014
2021-01-01T05:00:00.000Z,0,4.3398,5.37,-0.2014
2021-01-01T06:00:00.000Z,0,3.8598,5.13,-0.2014
2021-01-01T07:00:00.000Z,0,3.3799,4.8901,-0.2014
2021-01-01T08:00:00.000Z,0,4.8302,5.9,-0.2014
2021-01-01T09:00:00.000Z,87,5.1201,5.9999,2868
2021-01-01T10:00:00.000Z,113,5.41,6.0999,3554.4
2021-01-01T11:00:00.000Z,47.996,5.6998,6.19,1401.6
2021-01-01T12:00:00.000Z,136,5.7199,6.4801,4260.7
2021-01-01T13:00:00.000Z,109,5.7299,6.7701,3402.5
2021-01-01T14:00:00.000Z,54.994,5.75,7.0599,1670.3
2021-01-01T15:00:00.000Z,0,5.8598,7.3401,-0.2014
2021-01-01T16:00:00.000Z,0,5.9802,7.6099,-0.2014
2021-01-01T17:00:00.000Z,0,6.1,7.8901,-0.2014
2021-01-01T18:00:00.000Z,0,6.26,8.2401,-0.2014
2021-01-01T19:00:00.000Z,0,6.42,8.5899,-0.2014
2021-01-01T20:00:00.000Z,0,6.58,8.9399,-0.2014
2021-01-01T21:00:00.000Z,0,6.6998,9.3699,-0.2014
2021-01-01T22:00:00.000Z,0,6.8302,9.7901,-0.2014
2021-01-01T23:00:00.000Z,0,6.9501,10.22,-0.2014
2021-01-02T00:00:00.000Z,0,7.4501,10.16,-0.2014
2021-01-02T01:00:00.000Z,0,7.94,10.09,-0.2014
2021-01-02T02:00:00.000Z,0,8.43,10.03,-0.2014
2021-01-02T03:00:00.000Z,0,8.7901,10.06,-0.2014
2021-01-02T04:00:00.000Z,0,9.1401,10.1,-0.2014
2021-01-02T05:00:00.000Z,0,9.4902,10.14,-0.2014
2021-01-02T06:00:00.000Z,0,8.8899,9.9399,-0.2014
2021-01-02T07:00:00.000Z,0,8.2901,9.7301,-0.2014
2021-01-02T08:00:00.000Z,0,7.6798,9.5299,-0.2014
2021-01-02T09:00:00.000Z,102,7.5699,9.3001,3283
2021-01-02T10:00:00.000Z,179,7.4601,9.07,5540.8
2021-01-02T11:00:00.000Z,211,7.3402,8.84,6564.4
2021-01-02T12:00:00.000Z,167,7.2199,8.8301,5220.4
2021-01-02T13:00:00.000Z,166,7.09,8.82,5048.4
2021-01-02T14:00:00.000Z,93.998,6.9601,8.8101,2974.1
2021-01-02T15:00:00.000Z,0,6.8498,8.7901,-0.2014
2021-01-02T16:00:00.000Z,0,6.7399,8.7701,-0.2014
