date,GlobHor,T_Amb,WindVel,E_Grid
01/01/1990 00:00,0,0.0002,0,-0.2014
01/01/1990 01:00,0,6.7399,6.56,-0.2014
01/01/1990 02:00,0,6.26,6.33,-0.2014
01/01/1990 03:00,0,5.7801,6.09,-0.2014
01/01/1990 04:00,0,5.3001,5.8501,-0.2014
01/01/1990 05:00,0,4.8202,5.6099,-0.2014
01/01/1990 06:00,0,4.3398,5.37,-0.2014
01/01/1990 07:00,0,3.8598,5.13,-0.2014
01/01/1990 08:00,0,3.3799,4.8901,-0.2014
01/01/1990 09:00,0,4.8302,5.9,-0.2014
01/01/1990 10:00,87,5.1201,5.9999,2868
01/01/1990 11:00,113,5.41,6.0999,3554.4
01/01/1990 12:00,47.996,5.6998,6.19,1401.6
01/01/1990 13:00,136,5.7199,6.4801,4260.7
01/01/1990 14:00,109,5.7299,6.7701,3402.5
01/01/1990 15:00,54.994,5.75,7.0599,1670.3
01/01/1990 16:00,0,5.8598,7.3401,-0.2014
01/01/1990 17:00,0,5.9802,7.6099,-0.2014
01/01/1990 18:00,0,6.1,7.8901,-0.2014
01/01/1990 19:00,0,6.26,8.2401,-0.2014
01/01/1990 20:00,0,6.42,8.5899,-0.2014
01/01/1990 21:00,0,6.58,8.9399,-0.2014
01/01/1990 22:00,0,6.6998,9.3699,-0.2014
01/01/1990 23:00,0,6.8302,9.7901,-0.2014
02/01/1990 00:00,0,6.9501,10.22,-0.2014
02/01/1990 01:00,0,7.4501,10.16,-0.2014
02/01/1990 02:00,0,7.94,10.09,-0.2014
02/01/1990 03:00,0,8.43,10.03,-0.2014
02/01/1990 04:00,0,8.7901,10.06,-0.2014
02/01/1990 05:00,0,9.1401,10.1,-0.2014
02/01/1990 06:00,0,9.4902,10.14,-0.2014
02/01/1990 07:00,0,8.8899,9.9399,-0.2014
02/01/1990 08:00,0,8.2901,9.7301,-0.2014
02/01/1990 09:00,0,7.6798,9.5299,-0.2014
02/01/1990 10:00,102,7.5699,9.3001,3283
02/01/1990 11:00,179,7.4601,9.07,5540.8
02/01/1990 12:00,211,7.3402,8.84,6564.4
02/01/1990 13:00,167,7.2199,8.8301,5220.4
02/01/1990 14:00,166,7.09,8.82,5048.4
02/01/1990 15:00,93.998,6.9601,8.8101,2974.1
02/01/1990 16:00,0,6.8498,8.7901,-0.2014
02/01/1990 17:00,0,6.7399,8.7701,-0.2014
02/01/1990 18:00,0,6.6301,8.74,-0.2014
02/01/1990 19:00,0,6.5098,8.6099,-0.2014
02/01/1990 20:00,0,6.3999,8.4699,-0.2014
02/01/1990 21:00,0,6.2901,8.33,-0.2014
02/01/1990 22:00,0,6.2199,7.7101,-0.2014
02/01/1990 23:00,0,6.1502,7.0999,-0.2014
03/01/1990 00:00,0,6.08,6.4801,-0.2014
03/01/1990 01:00,0,6.0499,6.27,-0.2014
03/01/1990 02:00,0,6.0198,6.0599,-0.2014
03/01/1990 03:00,0,5.9802,5.8501,-0.2014
03/01/1990 04:00,0,5.91,6.1399,-0.2014
03/01/1990 05:00,0,5.8302,6.43,-0.2014
03/01/1990 06:00,0,5.75,6.72,-0.2014
03/01/1990 07:00,0,5.6301,6.8701,-0.2014
03/01/1990 08:00,0,5.5098,7.0199,-0.2014
03/01/1990 09:00,0,5.3899,7.17,-0.2014
03/01/1990 10:00,35.003,5.1898,6.43,979.53
03/01/1990 11:00,35.003,4.9902,5.6899,979.29
03/01/1990 12:00,109,4.7801,4.9501,3391.1
03/01/1990 13:00,89.997,4.6,4.6099,2759.8
03/01/1990 14:00,97.998,4.42,4.2599,3035.6
03/01/1990 15:00,38.001,4.24,3.92,1088.5
03/01/1990 16:00,0,4.4501,3.94,-0.2014
03/01/1990 17:00,0,4.6602,3.9501,-0.2014
03/01/1990 18:00,0,4.8699,3.9701,-0.2014
03/01/1990 19:00,0,5.0399,4.45,-0.2014
03/01/1990 20:00,0,5.2099,4.92,-0.2014
03/01/1990 21:00,0,5.3799,5.39,-0.2014
03/01/1990 22:00,0,5.41,5.5401,-0.2014
03/01/1990 23:00,0,5.43,5.68,-0.2014
04/01/1990 00:00,0,5.4601,5.82,-0.2014
04/01/1990 01:00,0,5.5098,5.96,-0.2014
04/01/1990 02:00,0,5.5599,6.0999,-0.2014
04/01/1990 03:00,0,5.6,6.23,-0.2014
04/01/1990 04:00,0,5.5399,6.11,-0.2014
04/01/1990 05:00,0,5.4802,5.9901,-0.2014
04/01/1990 06:00,0,5.41,5.86,-0.2014
04/01/1990 07:00,0,5.4902,5.4801,-0.2014
04/01/1990 08:00,0,5.5699,5.09,-0.2014
04/01/1990 09:00,0,5.6502,4.7,-0.2014
04/01/1990 10:00,102,6.0298,4.5401,3304.6
04/01/1990 11:00,125,6.41,4.37,3890.4
04/01/1990 12:00,207,6.7901,4.21,6440.5
04/01/1990 13:00,224,6.44,4.0301,6951.3
04/01/1990 14:00,178,6.08,3.8501,5408.8
04/01/1990 15:00,102,5.7199,3.6699,3197.9
04/01/1990 16:00,0,5.3302,3.45,-0.2014
04/01/1990 17:00,0,4.94,3.23,-0.2014
04/01/1990 18:00,0,4.5599,3.0101,-0.2014
04/01/1990 19:00,0,4.3899,3.1999,-0.2014
04/01/1990 20:00,0,4.2199,3.39,-0.2014
04/01/1990 21:00,0,4.0599,3.5899,-0.2014
04/01/1990 22:00,0,4.0198,3.7899,-0.2014
04/01/1990 23:00,0,3.9701,4,-0.2014
05/01/1990 00:00,0,3.93,4.21,-0.2014
05/01/1990 01:00,0,3.8699,4.3401,-0.2014
05/01/1990 02:00,0,3.8101,4.4601,-0.2014
05/01/1990 03:00,0,3.74,4.5899,-0.2014
05/01/1990 04:00,0,3.8101,4.47,-0.2014
05/01/1990 05:00,0,3.8799,4.3401,-0.2014
05/01/1990 06:00,0,3.9501,4.2199,-0.2014
05/01/1990 07:00,0,4.1401,4.4801,-0.2014
05/01/1990 08:00,0,4.3202,4.74,-0.2014
05/01/1990 09:00,0,4.5002,4.9901,-0.2014
05/01/1990 10:00,80.002,4.8699,4.7,2594.1
05/01/1990 11:00,139,5.24,4.41,4381
05/01/1990 12:00,88.993,5.6101,4.1199,2716.9
05/01/1990 13:00,51.006,5.5499,3.94,1498.8
05/01/1990 14:00,17.997,5.4802,3.7699,405.82
05/01/1990 15:00,21.997,5.42,3.5899,532.05
05/01/1990 16:00,1.0036,5.4501,3.6699,-0.2014
05/01/1990 17:00,0,5.4802,3.7499,-0.2014
05/01/1990 18:00,0,5.5198,3.8299,-0.2014
05/01/1990 19:00,0,5.4902,3.92,-0.2014
05/01/1990 20:00,0,5.4601,4.0101,-0.2014
05/01/1990 21:00,0,5.44,4.0999,-0.2014
05/01/1990 22:00,0,5.44,3.86,-0.2014
05/01/1990 23:00,0,5.43,3.6299,-0.2014
06/01/1990 00:00,0,5.43,3.39,-0.2014
06/01/1990 01:00,0,4.9902,3.4001,-0.2014
06/01/1990 02:00,0,4.5399,3.4001,-0.2014
06/01/1990 03:00,0,4.09,3.41,-0.2014
06/01/1990 04:00,0,3.7801,3.5801,-0.2014
06/01/1990 05:00,0,3.4701,3.7499,-0.2014
06/01/1990 06:00,0,3.1602,3.92,-0.2014
06/01/1990 07:00,0,2.9401,4.0301,-0.2014
06/01/1990 08:00,0,2.7199,4.15,-0.2014
06/01/1990 09:00,0,2.5002,4.2599,-0.2014
06/01/1990 10:00,87,2.6898,3.98,2907.3
06/01/1990 11:00,149.99,2.8799,3.6899,4747.9
06/01/1990 12:00,176.01,3.0599,3.41,5588.2
06/01/1990 13:00,155,3.1201,3.5001,4905.3
06/01/1990 14:00,130.99,3.1702,3.5899,4075.2
06/01/1990 15:00,85.996,3.2299,3.68,2733.8
06/01/1990 16:00,2.9971,3.76,3.94,-0.2014
06/01/1990 17:00,0,4.2901,4.1999,-0.2014
06/01/1990 18:00,0,4.8302,4.4601,-0.2014
06/01/1990 19:00,0,5.3302,4.6299,-0.2014
06/01/1990 20:00,0,5.8302,4.8,-0.2014
06/01/1990 21:00,0,6.3302,4.9701,-0.2014
06/01/1990 22:00,0,6.2901,4.5899,-0.2014
06/01/1990 23:00,0,6.25,4.2199,-0.2014
07/01/1990 00:00,0,6.2099,3.8501,-0.2014
07/01/1990 01:00,0,5.9501,3.7,-0.2014
07/01/1990 02:00,0,5.6798,3.5401,-0.2014
07/01/1990 03:00,0,5.41,3.39,-0.2014
07/01/1990 04:00,0,5.1602,3.3599,-0.2014
07/01/1990 05:00,0,4.91,3.3199,-0.2014
07/01/1990 06:00,0,4.6502,3.2799,-0.2014
07/01/1990 07:00,0,4.6201,3.5601,-0.2014
07/01/1990 08:00,0,4.59,3.84,-0.2014
07/01/1990 09:00,0,4.5499,4.1199,-0.2014
07/01/1990 10:00,106,5.0599,4.53,3439.5
07/01/1990 11:00,179,5.5599,4.94,5619.6
07/01/1990 12:00,226,6.0599,5.35,7062.9
07/01/1990 13:00,145,5.9802,5.43,4551.5
07/01/1990 14:00,187.01,5.8999,5.5001,5656.1
07/01/1990 15:00,85.996,5.8202,5.5699,2688
07/01/1990 16:00,8.0016,5.58,5.8501,42.352
07/01/1990 17:00,0,5.3402,6.13,-0.2014
07/01/1990 18:00,0,5.1,6.41,-0.2014
07/01/1990 19:00,0,5.0198,6.82,-0.2014
07/01/1990 20:00,0,4.9501,7.23,-0.2014
