time,mid_price,max_price,min_price
2020-10-04 08:00:00+00:00,26.62,20.3,20.3
2020-10-04 08:15:00+00:00,26.63,32.3,25.82
2020-10-04 08:30:00+00:00,27.48,15.37,15.37
2020-10-04 08:45:00+00:00,27.49,1.3,1.3
2020-10-04 09:00:00+00:00,27.49,16.3,16.3
2020-10-04 09:15:00+00:00,27.51,190.36,190.36
2020-10-04 09:30:00+00:00,27.53,27.0,24.3
2020-10-04 09:45:00+00:00,27.51,25.06,25.06
2020-10-04 10:00:00+00:00,26.94,23.99,23.99
2020-10-04 10:15:00+00:00,26.94,231.83,231.83
2020-10-04 10:30:00+00:00,27.49,-40.0,-40.0
2020-10-04 10:45:00+00:00,27.51,1.3,1.3
2020-10-04 11:00:00+00:00,26.94,-90.6,-90.6
2020-10-04 11:15:00+00:00,26.93,1.3,1.3
2020-10-04 11:30:00+00:00,26.94,-14.77,-14.77
2020-10-04 11:45:00+00:00,26.94,-72.75,-72.75
2020-10-04 12:00:00+00:00,26.35,-66.74,-66.74
2020-10-04 12:15:00+00:00,26.0,-57.53,-57.53
2020-10-04 12:30:00+00:00,26.0,-19.81,-19.81
2020-10-04 12:45:00+00:00,26.01,5.54,5.54
2020-10-04 13:00:00+00:00,25.95,-9.53,-9.53
2020-10-04 13:15:00+00:00,25.93,-60.86,-60.86
2020-10-04 13:30:00+00:00,25.91,-8.71,-8.71
2020-10-04 13:45:00+00:00,25.89,-8.93,-8.93
2020-10-04 14:00:00+00:00,27.04,14.0,14.0
2020-10-04 14:15:00+00:00,25.93,-138.0,-138.0
2020-10-04 14:30:00+00:00,13.18,-95.21,-95.21
2020-10-04 14:45:00+00:00,13.18,5.54,5.54
2020-10-04 15:00:00+00:00,13.19,13.18,13.18
2020-10-04 15:15:00+00:00,27.04,-40.0,-40.0
2020-10-04 15:30:00+00:00,13.18,20.3,20.3
2020-10-04 15:45:00+00:00,13.19,13.18,13.18
2020-10-04 16:00:00+00:00,14.05,32.3,32.3
2020-10-04 16:15:00+00:00,14.05,28.95,1.3
2020-10-04 16:30:00+00:00,26.05,1.3,1.3
2020-10-04 16:45:00+00:00,14.0,20.3,20.3
2020-10-04 17:00:00+00:00,14.05,34.89,34.89
2020-10-04 17:15:00+00:00,14.0,33.18,25.84
2020-10-04 17:30:00+00:00,13.99,25.86,25.86
2020-10-04 17:45:00+00:00,13.96,13.99,13.99
2020-10-04 18:00:00+00:00,13.18,13.96,13.96
2020-10-04 18:15:00+00:00,14.75,24.4,24.4
2020-10-04 18:30:00+00:00,14.77,20.3,20.3
2020-10-04 18:45:00+00:00,14.81,-32.02,-32.02
2020-10-04 19:00:00+00:00,14.73,20.3,20.3
2020-10-04 19:15:00+00:00,14.76,47.17,24.3
2020-10-04 19:30:00+00:00,14.76,29.18,29.18
