time_ams,time,epex_price,tennet_short,tennet_long
2021-01-01 00:00:00+01:00,2021-01-01 00:00:00,50.87,3.78,3.78
2021-01-01 00:15:00+01:00,2021-01-01 00:15:00,50.87,12.27,12.27
2021-01-01 00:30:00+01:00,2021-01-01 00:30:00,50.87,42.89,9.59
2021-01-01 00:45:00+01:00,2021-01-01 00:45:00,50.87,43.64,34.59
2021-01-01 01:00:00+01:00,2021-01-01 01:00:00,48.19,31.59,31.59
2021-01-01 01:15:00+01:00,2021-01-01 01:15:00,48.19,42.08,42.08
2021-01-01 01:30:00+01:00,2021-01-01 01:30:00,48.19,42.08,42.08
2021-01-01 01:45:00+01:00,2021-01-01 01:45:00,48.19,39.97,39.97
2021-01-01 02:00:00+01:00,2021-01-01 02:00:00,44.68,34.59,34.59
2021-01-01 02:15:00+01:00,2021-01-01 02:15:00,44.68,11.94,11.94
2021-01-01 02:30:00+01:00,2021-01-01 02:30:00,44.68,11.94,11.94
2021-01-01 02:45:00+01:00,2021-01-01 02:45:00,44.68,11.94,11.94
2021-01-01 03:00:00+01:00,2021-01-01 03:00:00,42.92,11.79,11.79
2021-01-01 03:15:00+01:00,2021-01-01 03:15:00,42.92,10.0,10.0
2021-01-01 03:30:00+01:00,2021-01-01 03:30:00,42.92,-73.5,-73.5
2021-01-01 03:45:00+01:00,2021-01-01 03:45:00,42.92,-4.82,-4.82
2021-01-01 04:00:00+01:00,2021-01-01 04:00:00,40.39,36.56,36.56
2021-01-01 04:15:00+01:00,2021-01-01 04:15:00,40.39,36.56,36.56
2021-01-01 04:30:00+01:00,2021-01-01 04:30:00,40.39,26.59,26.59
2021-01-01 04:45:00+01:00,2021-01-01 04:45:00,40.39,-8.45,-8.45
2021-01-01 05:00:00+01:00,2021-01-01 05:00:00,40.2,31.59,31.59
2021-01-01 05:15:00+01:00,2021-01-01 05:15:00,40.2,26.59,26.59
2021-01-01 05:30:00+01:00,2021-01-01 05:30:00,40.2,34.05,34.05
2021-01-01 05:45:00+01:00,2021-01-01 05:45:00,40.2,-13.86,-13.86
2021-01-01 06:00:00+01:00,2021-01-01 06:00:00,39.63,-19.7,-19.7
2021-01-01 06:15:00+01:00,2021-01-01 06:15:00,39.63,34.0,34.0
2021-01-01 06:30:00+01:00,2021-01-01 06:30:00,39.63,34.0,34.0
2021-01-01 06:45:00+01:00,2021-01-01 06:45:00,39.63,36.69,36.69
2021-01-01 07:00:00+01:00,2021-01-01 07:00:00,40.09,42.08,42.08
2021-01-01 07:15:00+01:00,2021-01-01 07:15:00,40.09,42.08,42.08
2021-01-01 07:30:00+01:00,2021-01-01 07:30:00,40.09,40.28,40.28
2021-01-01 07:45:00+01:00,2021-01-01 07:45:00,40.09,42.08,42.08
2021-01-01 08:00:00+01:00,2021-01-01 08:00:00,41.27,-158.73,-158.73
2021-01-01 08:15:00+01:00,2021-01-01 08:15:00,41.27,-158.73,-158.73
2021-01-01 08:30:00+01:00,2021-01-01 08:30:00,41.27,1.27,1.27
2021-01-01 08:45:00+01:00,2021-01-01 08:45:00,41.27,1.27,1.27
